研究	VERBcompoundPART	生	15
生	PARTnsubjNOUN	人	15
40	NUMnummodNOUN	人	15
人	NOUNparataxisVERB	招收	15
左右	ADPaclNOUN	人	15
，	PUNCTpunctVERB	研究	15
博士	NOUNnsubjVERB	研究	15
15	ABOUT	博士	15
研究	VERBccompVERB	招收	15
生近	NOUNobjVERB	研究	15
15	ABOUT	生近	15
20	NUMnummodNOUN	人	15
人	NOUNobjVERB	研究	15
15	ABOUT	人	15
以及	CCONJccPART	生	15
若干	NUMnummodPART	生	15
国外	NOUNnmodPART	生	15
留学	VERBcompoundPART	生	15
生	PARTconjNOUN	人	15
。	PUNCTpunctVERB	有	15
有	VERB_PREDICATE_OF	16	16
图书	NOUNcompoundPART	馆	16
馆	PARTcompoundPART	学	16
学	PARTobjVERB	有	16
(	PUNCTpunctNOUN	本	16
本	NOUNconjPART	学	16
、	PUNCTpunctNOUN	硕	16
硕	NOUNconjPART	学	16
、	PUNCTpunctNOUN	博)	16
博)	NOUNconjPART	学	16
，	PUNCTpunctPART	学	16
情报	NOUNnmodPART	硕	16
学(	NOUNcompoundPART	硕	16
硕	PARTconjPART	学	16
、	PUNCTpunctNOUN	博)	16
博)	NOUNconjPART	学	16
，	PUNCTpunctNOUN	管理	16
信息	NOUNnmodNOUN	管理	16
管理	NOUNconjPART	学	16
与	CCONJccNOUN	系统	16
信息	NOUNnmodNOUN	系统	16
系统	NOUNnmodNOUN	(本)	16
(本)	NOUNapposPART	学	16
，	PUNCTpunctVERB	有	16
编辑	VERBamodPART	学	16
出版	VERBcompoundPART	学	16
学	PARTnmodNOUN	(硕	16
(硕	NOUNnmodNOUN	(本)	16
、	PUNCTpunctPART	点	16
博士	NOUNcompoundPART	点	16
点	PARTconjNOUN	(硕	16
为	AUXcopNOUN	自设	16
自设	NOUNccompVERB	编辑	16
)	PUNCTpunctNOUN	专业	16
两	NUMnummodNOUN	个	16
个	NOUNclfNOUN	专业	16
本科	NOUNnmodNOUN	专业	16
专业	NOUNconjNOUN	自设	16
与	CCONJccNOUN	硕	16
三	NUMnummodNOUN	个	16
个	NOUNclfNOUN	硕	16
硕	NOUNconjNOUN	专业	16
、	PUNCTpunctPART	点	16
博士	NOUNcompoundPART	点	16
点	PARTconjNOUN	自设	16
，	PUNCTpunctVERB	有	16
另	DETdetPART	馆	16
图书	NOUNcompoundPART	馆	16
馆	PARTcompoundPART	学	16
学	PARTnsubjVERB	有	16
是	AUXcopNOUN	学科	16
国家	NOUNnmodNOUN	学科	16
重点	NOUNnmodNOUN	学科	16
学科	NOUNadvclVERB	有	16
，	PUNCTpunctVERB	有	16
有	VERBparataxisVERB	有	16
“	PUNCTpunctPART	馆	16
图书	NOUNcompoundPART	馆	16
馆	PARTnmodPART	权	16
、	PUNCTpunctNOUN	情报	16
情报	NOUNconjPART	馆	16
与	CCONJccNOUN	档案	16
档案	NOUNnmodNOUN	管理	16
管理	NOUNconjPART	馆	16
”	PUNCTpunctNOUN	管理	16
一	NUMnummodNOUN	级	16
级	NOUNnmodPART	权	16
学科	NOUNnmodPART	权	16
授予	VERBcompoundPART	权	16
